iter	Passed	Remaining
0	122	122081
1	124	62170
2	125	41810
3	126	31577
4	128	25505
5	129	21475
6	131	18588
7	132	16406
8	133	14732
9	136	13553
10	138	12441
11	139	11491
12	141	10718
13	142	10046
14	143	9449
15	145	8918
16	145	8440
17	146	8010
18	148	7660
19	149	7344
20	150	7033
21	152	6759
22	153	6504
23	154	6276
24	155	6058
25	156	5852
26	157	5662
27	158	5488
28	159	5351
29	161	5208
30	162	5068
31	163	4935
32	164	4811
33	165	4693
34	165	4575
35	167	4478
36	168	4376
37	169	4284
38	170	4195
39	171	4110
40	172	4032
41	173	3953
42	174	3872
43	175	3806
44	176	3737
45	176	3670
46	177	3604
47	178	3539
48	179	3479
49	180	3422
50	181	3386
51	183	3336
52	183	3286
53	184	3237
54	185	3187
55	186	3142
56	187	3098
57	188	3055
58	189	3017
59	190	2978
60	191	2941
61	192	2905
62	192	2868
63	194	2846
64	195	2811
65	196	2777
66	197	2747
67	197	2710
68	198	2679
69	199	2650
70	200	2619
71	200	2588
72	201	2557
73	202	2531
74	202	2502
75	203	2477
76	205	2469
77	206	2445
78	207	2419
79	208	2392
80	208	2370
81	209	2344
82	210	2322
83	211	2302
84	211	2280
85	213	2268
86	214	2247
87	215	2230
88	216	2211
89	217	2195
90	218	2180
91	219	2170
92	221	2158
93	222	2142
94	223	2133
95	224	2117
96	226	2104
97	226	2088
98	227	2074
99	228	2057
100	229	2041
101	229	2023
102	230	2010
103	231	1996
104	232	1979
105	233	1966
106	234	1953
107	234	1940
108	235	1925
109	236	1912
110	238	1910
111	239	1898
112	240	1890
113	241	1879
114	242	1869
115	243	1857
116	244	1845
117	245	1836
118	246	1824
119	247	1814
120	248	1803
121	249	1793
122	250	1784
123	251	1773
124	252	1769
125	253	1760
126	254	1751
127	255	1740
128	256	1734
129	258	1732
130	259	1721
131	260	1712
132	261	1703
133	262	1695
134	263	1686
135	264	1678
136	265	1671
137	266	1662
138	266	1653
139	267	1645
140	268	1636
141	269	1626
142	269	1617
143	270	1609
144	271	1603
145	272	1596
146	273	1587
147	274	1578
148	274	1570
149	275	1561
150	276	1553
151	276	1545
152	277	1536
153	278	1529
154	279	1523
155	280	1515
156	280	1507
157	281	1499
158	281	1491
159	282	1483
160	283	1475
161	283	1468
162	284	1460
163	285	1453
164	285	1446
165	286	1441
166	287	1434
167	288	1427
168	288	1420
169	289	1412
170	289	1405
171	290	1398
172	291	1391
173	291	1384
174	292	1378
175	292	1371
176	293	1365
177	294	1361
178	295	1354
179	295	1348
180	296	1340
181	296	1333
182	297	1327
183	297	1321
184	298	1315
185	299	1309
186	299	1303
187	300	1299
188	301	1295
189	302	1291
190	303	1286
191	304	1281
192	305	1276
193	305	1270
194	306	1264
195	307	1259
196	307	1254
197	308	1248
198	309	1244
199	310	1240
200	310	1235
201	311	1230
202	312	1226
203	313	1221
204	313	1216
205	314	1211
206	314	1206
207	315	1201
208	316	1197
209	317	1193
210	317	1188
211	318	1184
212	319	1179
213	319	1174
214	320	1169
215	320	1164
216	321	1160
217	322	1155
218	322	1150
219	323	1146
220	324	1142
221	325	1139
222	326	1135
223	327	1133
224	327	1129
225	328	1126
226	329	1122
227	330	1119
228	331	1116
229	332	1112
230	333	1109
231	334	1105
232	335	1102
233	335	1099
234	336	1096
235	337	1092
236	338	1088
237	339	1085
238	340	1082
239	340	1079
240	341	1075
241	342	1071
242	342	1067
243	343	1063
244	343	1059
245	344	1055
246	346	1055
247	347	1053
248	348	1050
249	349	1047
250	350	1044
251	350	1040
252	351	1036
253	351	1033
254	352	1029
255	352	1025
256	353	1022
257	354	1019
258	355	1016
259	355	1012
260	356	1009
261	357	1005
262	357	1002
263	358	999
264	359	995
265	359	992
266	360	990
267	361	988
268	362	986
269	364	984
270	365	982
271	366	979
272	366	977
273	368	975
274	369	973
275	370	971
276	371	968
277	372	966
278	373	964
279	373	961
280	374	958
281	375	955
282	375	952
283	376	950
284	377	947
285	378	944
286	379	941
287	379	938
288	380	935
289	380	932
290	381	929
291	382	926
292	382	923
293	383	920
294	384	918
295	384	915
296	385	912
297	386	910
298	386	907
299	387	904
300	388	901
301	388	898
302	389	895
303	389	892
304	390	889
305	391	887
306	392	885
307	393	883
308	394	881
309	395	879
310	396	877
311	396	875
312	397	872
313	398	871
314	399	868
315	400	865
316	400	863
317	401	860
318	401	858
319	402	855
320	403	852
321	403	850
322	404	847
323	405	845
324	405	843
325	406	840
326	407	838
327	407	835
328	408	833
329	409	830
330	409	828
331	410	826
332	411	823
333	411	821
334	412	819
335	413	817
336	414	815
337	415	813
338	415	810
339	416	808
340	416	805
341	417	803
342	418	800
343	418	798
344	419	796
345	420	794
346	421	793
347	422	791
348	422	788
349	423	786
350	424	784
351	424	782
352	425	779
353	426	777
354	426	775
355	427	773
356	428	771
357	429	769
358	429	767
359	430	765
360	431	763
361	431	760
362	432	758
363	432	756
364	433	754
365	434	752
366	435	751
367	436	750
368	437	748
369	438	746
370	438	744
371	439	742
372	440	739
373	441	738
374	442	736
375	443	735
376	443	733
377	444	731
378	445	729
379	445	727
380	446	725
381	447	723
382	447	721
383	448	718
384	448	716
385	449	714
386	450	713
387	451	712
388	452	710
389	452	708
390	453	706
391	454	704
392	454	702
393	455	701
394	456	698
395	456	696
396	457	695
397	458	693
398	459	692
399	460	690
400	461	688
401	461	686
402	462	684
403	462	682
404	463	681
405	464	679
406	464	677
407	465	676
408	466	674
409	467	672
410	468	671
411	469	669
412	470	668
413	471	667
414	472	665
415	472	663
416	473	662
417	474	660
418	474	658
419	475	656
420	476	654
421	476	652
422	477	650
423	477	648
424	478	647
425	478	645
426	479	643
427	480	642
428	481	641
429	482	640
430	483	638
431	484	637
432	485	635
433	485	633
434	486	631
435	486	629
436	487	628
437	488	626
438	489	625
439	490	624
440	491	623
441	492	622
442	493	620
443	493	618
444	494	616
445	495	615
446	496	614
447	497	612
448	497	610
449	498	609
450	498	607
451	499	605
452	500	603
453	501	602
454	501	600
455	502	599
456	503	597
457	504	596
458	505	595
459	506	594
460	506	592
461	507	591
462	508	589
463	509	587
464	509	586
465	510	585
466	511	584
467	512	582
468	513	581
469	514	579
470	514	578
471	515	576
472	515	574
473	516	573
474	516	571
475	517	569
476	518	568
477	519	567
478	520	565
479	520	564
480	521	562
481	522	561
482	522	559
483	523	557
484	523	556
485	524	554
486	524	552
487	525	551
488	526	550
489	527	549
490	528	547
491	530	547
492	531	546
493	531	544
494	532	542
495	533	542
496	534	541
497	535	539
498	536	538
499	537	537
500	538	536
501	539	534
502	539	533
503	540	531
504	541	530
505	542	529
506	542	527
507	543	526
508	544	524
509	545	523
510	545	522
511	546	521
512	547	519
513	547	518
514	548	516
515	549	515
