iter	Passed	Remaining
0	150	150093
1	165	82373
2	168	56126
3	177	44134
4	182	36238
5	184	30617
6	189	26811
7	191	23784
8	194	21465
9	198	19611
10	200	17998
11	202	16658
12	204	15514
13	206	14553
14	209	13762
15	212	13049
16	214	12397
17	216	11805
18	218	11278
19	220	10804
20	222	10387
21	225	10016
22	227	9663
23	229	9341
24	231	9041
25	233	8761
26	235	8499
27	238	8264
28	240	8043
29	242	7837
30	244	7643
31	246	7458
32	249	7308
33	251	7147
34	253	6996
35	255	6849
36	257	6709
37	259	6579
38	262	6460
39	264	6349
40	266	6236
41	268	6132
42	270	6030
43	273	5943
44	276	5873
45	279	5787
46	280	5691
47	282	5609
48	287	5580
49	292	5556
50	295	5497
51	304	5549
52	314	5624
53	317	5559
54	321	5518
55	329	5551
56	332	5504
57	345	5613
58	355	5674
59	454	7116
60	524	8067
61	637	9638
62	640	9525
63	646	9454
64	672	9673
65	683	9673
66	686	9562
67	689	9455
68	694	9364
69	700	9300
70	702	9194
71	705	9096
72	708	8993
73	710	8892
74	713	8796
75	715	8699
76	717	8604
77	720	8514
78	723	8428
79	725	8341
80	727	8252
81	729	8168
82	730	8073
83	732	7991
84	735	7917
85	737	7840
86	739	7764
87	742	7691
88	745	7626
89	747	7554
90	749	7486
91	751	7418
92	753	7349
93	755	7281
94	758	7221
95	759	7156
96	761	7092
97	763	7031
98	766	6977
99	768	6919
100	770	6860
101	773	6811
102	775	6756
103	777	6701
104	780	6651
105	782	6598
106	784	6547
107	786	6494
108	788	6448
109	790	6399
110	792	6349
111	795	6304
112	798	6264
113	800	6220
114	802	6175
115	804	6131
116	805	6081
117	807	6036
118	809	5993
119	811	5954
120	813	5910
121	815	5865
122	817	5826
123	820	5793
124	822	5754
125	824	5716
126	826	5683
127	828	5646
128	831	5611
129	833	5577
130	835	5540
131	837	5505
132	839	5475
133	841	5441
134	843	5407
135	846	5376
136	848	5345
137	850	5312
138	852	5282
139	855	5255
140	857	5224
141	858	5190
142	863	5172
143	865	5147
144	871	5136
145	873	5109
146	876	5083
147	878	5057
148	880	5029
149	882	5000
150	884	4975
151	886	4948
152	889	4921
153	891	4897
154	893	4872
155	896	4847
156	898	4823
157	901	4801
158	903	4777
159	905	4753
160	906	4726
161	909	4702
162	910	4677
163	912	4653
164	917	4644
165	919	4621
166	923	4605
167	925	4582
168	928	4565
169	931	4547
170	933	4525
171	935	4503
172	938	4485
173	940	4466
174	944	4450
175	946	4430
176	948	4410
177	951	4395
178	955	4380
179	963	4389
180	974	4407
181	980	4408
182	990	4421
183	1011	4484
184	1023	4510
185	1032	4518
186	1036	4504
187	1039	4490
188	1045	4486
189	1049	4472
190	1054	4466
191	1057	4451
192	1067	4465
193	1081	4495
194	1089	4497
195	1103	4528
196	1112	4534
197	1119	4533
198	1134	4566
199	1143	4575
200	1153	4586
201	1160	4585
202	1166	4577
203	1168	4560
204	1173	4550
205	1175	4532
206	1180	4521
207	1183	4507
208	1188	4498
209	1190	4480
210	1193	4462
211	1196	4446
212	1198	4428
213	1202	4416
214	1204	4398
215	1206	4380
216	1210	4367
217	1212	4349
218	1214	4332
219	1218	4318
220	1220	4300
221	1222	4285
222	1225	4270
223	1228	4254
224	1233	4248
225	1236	4233
226	1242	4229
227	1244	4212
228	1248	4204
229	1251	4188
230	1254	4175
231	1256	4159
232	1258	4143
233	1261	4130
234	1264	4114
235	1266	4099
236	1269	4086
237	1271	4070
238	1273	4054
239	1275	4038
240	1277	4024
241	1279	4008
242	1281	3992
243	1284	3980
244	1286	3965
245	1288	3950
246	1292	3939
247	1294	3924
248	1296	3910
249	1299	3897
250	1301	3882
251	1303	3868
252	1305	3854
253	1307	3841
254	1309	3827
255	1311	3812
256	1315	3803
257	1317	3790
258	1321	3779
259	1323	3766
260	1325	3752
261	1328	3741
262	1330	3729
263	1333	3716
264	1335	3705
265	1338	3692
266	1340	3679
267	1344	3671
268	1347	3660
